,budget,company,country,director,genre,gross,name,rating,star,year
2436,36000000,Columbia Pictures Corporation,USA,Andrew Niccol,Drama,12339633,Gattaca,PG-13,Ethan Hawke,1997
2438,57000000,Warner Bros.,USA,Taylor Hackford,Drama,60984028,The Devil's Advocate,R,Keanu Reeves,1997
2439,17000000,Mandalay Entertainment,USA,Jim Gillespie,Horror,72586134,I Know What You Did Last Summer,R,Jennifer Love Hewitt,1997
2440,12000000,Miramax,USA,Quentin Tarantino,Crime,39673162,Jackie Brown,R,Pam Grier,1997
2441,75000000,Brandywine Productions,USA,Jean-Pierre Jeunet,Action,47748610,Alien Resurrection,R,Sigourney Weaver,1997
2442,73000000,Universal Pictures,USA,Steven Spielberg,Action,229086679,The Lost World: Jurassic Park,PG-13,Jeff Goldblum,1997
2443,60000000,Golar Productions,UK,Paul W.S. Anderson,Horror,26673242,Event Horizon,R,Laurence Fishburne,1997
2444,110000000,Eon Productions,UK,Roger Spottiswoode,Action,125332007,Tomorrow Never Dies,PG-13,Pierce Brosnan,1997
2445,50000000,Twentieth Century Fox Film Corporation,USA,Don Bluth,Animation,58406347,Anastasia,G,Meg Ryan,1997
2446,90000000,Twentieth Century Fox Film Corporation,USA,Mick Jackson,Action,49323468,Volcano,PG-13,Tommy Lee Jones,1997
2447,35000000,Mandalay Entertainment,USA,Mike Newell,Biography,41909762,Donnie Brasco,R,Al Pacino,1997
2448,50000000,TriStar Pictures,USA,James L. Brooks,Comedy,148478011,As Good as It Gets,PG-13,Jack Nicholson,1997
2449,17000000,Capella International,USA,Jay Roach,Adventure,53883989,Austin Powers: International Man of Mystery,PG-13,Mike Myers,1997
2450,15000000,October Films,France,David Lynch,Mystery,3796699,Por el lado oscuro del camino,R,Bill Pullman,1997
2451,40000000,Constellation Entertainment,USA,Francis Ford Coppola,Crime,45856732,The Rainmaker,PG-13,Matt Damon,1997
2452,45000000,Universal Pictures,USA,Tom Shadyac,Comedy,181410615,Liar Liar,PG-13,Jim Carrey,1997
2454,116000000,Universal Pictures,USA,Roger Donaldson,Action,67127760,Dante's Peak,PG-13,Pierce Brosnan,1997
2455,20000000,Q Productions,USA,Gregory Nava,Biography,35422828,Selena,PG,Jennifer Lopez,1997
2456,40000000,New Line Cinema,USA,Mark A.Z. DippÈ,Action,54967359,Spawn,R,John Leguizamo,1997
2457,46000000,TriStar Pictures,USA,P.J. Hogan,Comedy,127120029,My Best Friend's Wedding,PG-13,Julia Roberts,1997
2459,24000000,Dimension Films,USA,Wes Craven,Horror,101363301,Scream 2,R,Neve Campbell,1997
2462,45000000,Cinema Line Film Corporation,USA,Luis Llosa,Action,65885767,Anaconda,PG-13,Jon Voight,1997
2463,1300000,Fine Line Features,USA,Harmony Korine,Comedy,19820,Gummo,R,Nick Sutton,1997
2464,36000000,DreamWorks,USA,Steven Spielberg,Drama,44175394,Amistad,R,Djimon Hounsou,1997
2465,55000000,Walt Disney Pictures,USA,Sam Weisman,Action,105263257,George of the Jungle,PG,Brendan Fraser,1997
2466,85000000,Columbia Pictures Corporation,USA,Wolfgang Petersen,Action,172956409,Air Force One,R,Harrison Ford,1997
2467,30000000,Dimension Films,USA,Guillermo del Toro,Horror,25480490,Mimic,R,Mira Sorvino,1997
2468,32000000,Twentieth Century Fox Film Corporation,USA,Raja Gosnell,Comedy,30882515,Home Alone 3,PG,Alex D. Linz,1997
2469,1000000,Kuzui Enterprises,USA,Trey Parker,Comedy,582024,Orgazmo,NC-17,Trey Parker,1997
2470,22000000,Polygram Filmed Entertainment,UK,Mel Smith,Adventure,45319423,Bean,PG-13,Rowan Atkinson,1997
2472,70000000,Mandalay Entertainment,USA,Jean-Jacques Annaud,Adventure,37957682,Seven Years in Tibet,PG-13,Brad Pitt,1997
2473,180000,The Institute for the Intellectual Development of Children & Young Adults,Iran,Majid Majidi,Drama,925402,Children of Heaven,PG,Mohammad Amir Naji,1997
2474,15000000,Hollywood Pictures,USA,George Armitage,Action,28014536,Grosse Pointe Blank,R,John Cusack,1997
2475,50000000,Caravan Pictures,USA,Ridley Scott,Action,48169156,G.I. Jane,R,Demi Moore,1997
2476,3500000,Redwave Films,UK,Peter Cattaneo,Comedy,45950122,The Full Monty,R,Robert Carlyle,1997
2477,27000000,Paramount Pictures,USA,Gary Fleder,Crime,60527873,Kiss the Girls,R,Morgan Freeman,1997
2478,250000,Too Askew Prod. Inc.,USA,Kevin Smith,Comedy,12006514,Chasing Amy,R,Ben Affleck,1997
2479,25000000,Columbia Pictures Corporation,UK,Bob Spiers,Comedy,29342592,Spice World,PG,Melanie Brown,1997
2480,50000000,Castle Rock Entertainment,USA,Clint Eastwood,Action,50007168,Absolute Power,R,Clint Eastwood,1997
2481,30000000,New Line Cinema,USA,John R. Leonetti,Action,35927406,Mortal Kombat: Annihilation,PG-13,Robin Shou,1997
2482,10000000,Miramax,USA,James Mangold,Crime,44886089,Cop Land,R,Sylvester Stallone,1997
2483,35000000,Paramount Pictures,USA,Frank Oz,Comedy,63856929,In & Out,PG-13,Kevin Kline,1997
2485,18000000,Fox Searchlight Pictures,USA,Ang Lee,Drama,7837632,The Ice Storm,R,Kevin Kline,1997
2486,60000000,Universal Pictures,USA,Michael Caton-Jones,Action,54930280,The Jackal,R,Bruce Willis,1997
2487,19000000,Phoenix Pictures,France,Oliver Stone,Crime,6633400,Camino sin retorno,R,Sean Penn,1997
2488,20000000,Paramount Pictures,USA,Betty Thomas,Biography,41198146,Private Parts,R,Howard Stern,1997
2489,9000000,Paramount Pictures,USA,Brian Robbins,Comedy,23687907,Good Burger,PG,Kel Mitchell,1997
2490,35000000,Warner Bros.,USA,Clint Eastwood,Crime,25078937,Midnight in the Garden of Good and Evil,R,John Cusack,1997
2491,15000000,Baltimore Pictures,USA,Barry Levinson,Comedy,43022524,Wag the Dog,R,Dustin Hoffman,1997
2492,68000000,Paramount Pictures,USA,Phillip Noyce,Action,61355436,The Saint,PG-13,Val Kilmer,1997
2493,160000000,Blue Tulip Productions,USA,Jan de Bont,Action,48608066,Speed 2: Cruise Control,PG-13,Sandra Bullock,1997
2494,25000000,Warner Bros.,USA,Stephen Kessler,Comedy,36429528,Vegas Vacation,PG,Chevy Chase,1997
2495,86000000,Columbia Pictures Corporation,USA,Alan J. Pakula,Action,42868348,The Devil's Own,R,Harrison Ford,1997
2496,75000000,Warner Bros.,USA,Richard Donner,Action,75982834,Conspiracy Theory,R,Mel Gibson,1997
2497,29000000,Polygram Filmed Entertainment,UK,Peter Hewitt,Adventure,22359293,The Borrowers,PG,John Goodman,1997
2498,32000000,Walt Disney Pictures,USA,John Pasquin,Comedy,59925026,Jungle 2 Jungle,PG,Tim Allen,1997
2499,36000000,Dino De Laurentiis Company,USA,Jonathan Mostow,Action,50129186,Breakdown,R,Kurt Russell,1997
2500,80000000,Walt Disney Pictures,USA,Les Mayfield,Comedy,92977226,Flubber,PG,Robin Williams,1997
2501,38000000,DreamWorks,USA,Gore Verbinski,Comedy,61917389,Mousehunt,PG,Nathan Lane,1997
2504,10000000,3 Arts Entertainment,USA,Glenn Gordon Caron,Comedy,31058643,Picture Perfect,PG-13,Jennifer Aniston,1997
2505,50000000,DreamWorks,USA,Mimi Leder,Action,41263140,The Peacemaker,R,George Clooney,1997
2506,30000000,United Artists,USA,Bill Duke,Crime,23461013,Hoodlum,R,Laurence Fishburne,1997
2507,16000000,DC Entertainment,USA,Kenneth Johnson,Action,1710972,Steel,PG-13,Shaquille O'Neal,1997
2509,10000000,British Broadcasting Corporation (BBC),UK,Brian Gilbert,Biography,2157701,Wilde,R,Stephen Fry,1997
2511,22000000,Hollywood Pictures,UK,Anthony Waller,Comedy,26570463,An American Werewolf in Paris,R,Tom Everett Scott,1997
2512,5000000,Image Organization,USA,Robert Kurtzman,Fantasy,15719109,Wishmaster,R,Tammy Lauren,1997
2515,60000000,Warner Bros.,USA,FÈlix EnrÌquez Alcal·,Action,16228448,Fire Down Below,R,Steven Seagal,1997
2516,3000000,Walt Disney Pictures,USA,Charles Martin Smith,Comedy,24629916,Air Bud,PG,Michael Jeter,1997
2517,40000000,British Broadcasting Corporation (BBC),UK,Peter Hyams,Horror,33956608,The Relic,R,Penelope Ann Miller,1997
